127.0.0.1 - - [17/Dec/2024:08:19:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/mainhomepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/mainhomepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/script.js?timestamp=%3C%=%20System.currentTimeMillis()%20%%3E HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/mainhomepage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/LaLiga_EA_Sports_2023_Vertical_Logo.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/pl-main-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/bundesliga-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/Serie_A_logo_2022.svg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/e6849145-1156-430c-be71-b082bdf50769__1600X612.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/002-retail-1263-retro-christmas-jumpers-shop-categorydesktop-2160x720-comp.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/EA018846.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/%EC%BA%A1%EC%B2%98.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/meida/chelsea-nike-home-stadium-shirt-2024-25_ss5_p-200851164+u-canixtzkdetrqr6ldmyh+v-ta16fkjgovgvdtpb8khm.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/meida/chelsea.jpg HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/meida/chelsea-nike-away-stadium-shirt-2024-25_ss5_p-201095783+pv-2+u-vfx0sc8fgctpjop9net3+v-jivdoxhzhgke4obbsryt.jpg HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/btn_side_phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/media/btn_side_cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /jspStudy/makelogin/meida/chelsea-nike-home-stadium-shirt-2024-25_ss5_p-200851164+u-canixtzkdetrqr6ldmyh+v-ta16fkjgovgvdtpb8khm.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:19:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/mainhomepage.html HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/script.js?timestamp=%3C%=%20System.currentTimeMillis()%20%%3E HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C1.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C2.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C3.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C1.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C2.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:25:42 +0900] "GET /jspStudy/makelogin/meida/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C3.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/mainhomepage.html HTTP/1.1" 200 5987
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/script.js?timestamp=%3C%=%20System.currentTimeMillis()%20%%3E HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C1.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C2.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C3.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:24 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/mainhomepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/script.js?timestamp=%3C%=%20System.currentTimeMillis()%20%%3E HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C2.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C1.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [17/Dec/2024:08:26:26 +0900] "GET /jspStudy/makelogin/media/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C3.jsp HTTP/1.1" 404 833
